Iterations: 24330
Time taken: 6.220050
x,	phi(x,0)
+0.4600	+0.1255
+0.4700	+0.1245
+0.4800	+0.1234
+0.4900	+0.1223
+0.5000	+0.1212
+0.5100	+0.1200
+0.5200	+0.1188
+0.5300	+0.1176
+0.5400	+0.1163
+0.5500	+0.1150
+0.5600	+0.1136
+0.5700	+0.1122
+0.5800	+0.1108
+0.5900	+0.1093
+0.6000	+0.1078
+0.6100	+0.1062
+0.6200	+0.1046
+0.6300	+0.1029
+0.6400	+0.1012
+0.6500	+0.0995
+0.6600	+0.0977
+0.6700	+0.0959
+0.6800	+0.0940
+0.6900	+0.0920
+0.7000	+0.0900
+0.7100	+0.0880
+0.7200	+0.0859
+0.7300	+0.0838
+0.7400	+0.0815
+0.7500	+0.0793
+0.7600	+0.0770
+0.7700	+0.0746
+0.7800	+0.0722
+0.7900	+0.0697
+0.8000	+0.0671
+0.8100	+0.0645
+0.8200	+0.0618
+0.8300	+0.0590
+0.8400	+0.0562
+0.8500	+0.0533
+0.8600	+0.0503
+0.8700	+0.0472
+0.8800	+0.0441
+0.8900	+0.0409
+0.9000	+0.0376
+0.9100	+0.0343
+0.9200	+0.0308
+0.9300	+0.0273
+0.9400	+0.0237
+0.9500	+0.0199
+0.9600	+0.0161
+0.9700	+0.0123
+0.9800	+0.0083
+0.9900	+0.0042
+1.0000	+0.0000
